supplier_id,record_date,severity_level,category_of_violation,root_cause_category,corrective_actions_suggested,affected_product,process_involved,tone_of_letter,length_of_letter,deadline_for_resolution,resolution_status,follow_up_actions
S1,2023-08-31,Minor,Quality,Equipment Malfunction,1,Product B,Manufacturing,Warning,500,23,Pending,0
S1,2024-10-07,Moderate,Documentation,Process Failure,0,Product A,Shipping,Formal,982,16,Pending,0
S2,2023-01-05,Minor,Quality,Equipment Malfunction,1,Product D,Shipping,Warning,501,27,Pending,0
S2,2024-04-03,Moderate,Documentation,Equipment Malfunction,1,Product D,Packaging,Urgent,230,5,Unresolved,1
S2,2024-07-02,Critical,Regulatory,Equipment Malfunction,0,Product D,Packaging,Formal,496,18,Resolved,1
S2,2023-08-27,Moderate,Regulatory,Process Failure,1,Product C,Shipping,Urgent,645,27,Unresolved,0
S2,2024-08-13,Moderate,Regulatory,Equipment Malfunction,0,Product C,Testing,Formal,576,21,Resolved,1
S2,2023-10-19,Critical,Safety,Process Failure,1,Product A,Shipping,Warning,439,5,Resolved,1
S2,2023-02-12,Critical,Safety,Process Failure,1,Product B,Testing,Urgent,392,25,Resolved,0
S2,2023-05-27,Critical,Safety,Human Error,1,Product D,Manufacturing,Warning,904,29,Resolved,0
S2,2023-12-18,Moderate,Documentation,Equipment Malfunction,1,Product D,Shipping,Urgent,944,2,Resolved,0
S2,2023-06-17,Critical,Regulatory,Human Error,0,Product B,Packaging,Warning,592,14,Pending,0
S2,2024-05-20,Minor,Quality,Human Error,0,Product B,Shipping,Urgent,616,5,Pending,0
S2,2023-01-05,Minor,Safety,Equipment Malfunction,1,Product B,Packaging,Formal,990,10,Unresolved,1
S2,2024-10-31,Minor,Regulatory,Equipment Malfunction,1,Product C,Testing,Formal,219,29,Unresolved,0
S2,2024-02-07,Moderate,Safety,Process Failure,0,Product A,Manufacturing,Warning,734,28,Resolved,0
S2,2024-06-20,Minor,Quality,Process Failure,0,Product C,Manufacturing,Formal,360,11,Unresolved,1
S2,2024-08-30,Critical,Quality,Equipment Malfunction,0,Product D,Testing,Urgent,553,5,Resolved,1
S2,2023-05-19,Moderate,Regulatory,Human Error,1,Product B,Packaging,Warning,797,3,Pending,1
S2,2024-03-18,Moderate,Regulatory,Equipment Malfunction,1,Product D,Manufacturing,Formal,670,27,Resolved,0
S2,2024-01-04,Minor,Safety,Human Error,1,Product D,Shipping,Warning,521,28,Unresolved,0
S2,2023-06-24,Moderate,Safety,Equipment Malfunction,0,Product C,Testing,Urgent,771,11,Resolved,1
S2,2023-06-30,Critical,Quality,Process Failure,1,Product A,Packaging,Warning,323,13,Pending,0
S2,2024-09-10,Minor,Safety,Equipment Malfunction,1,Product D,Manufacturing,Formal,774,16,Pending,0
S2,2023-11-14,Critical,Quality,Human Error,1,Product B,Shipping,Warning,321,5,Resolved,1
S2,2024-06-19,Moderate,Regulatory,Equipment Malfunction,1,Product A,Manufacturing,Urgent,500,10,Pending,0
S2,2024-12-10,Moderate,Regulatory,Equipment Malfunction,1,Product B,Testing,Warning,384,12,Unresolved,0
S2,2023-12-17,Critical,Safety,Equipment Malfunction,0,Product B,Shipping,Warning,558,26,Unresolved,1
S2,2023-09-07,Moderate,Quality,Human Error,1,Product A,Shipping,Formal,588,7,Unresolved,0
S2,2024-07-28,Critical,Regulatory,Process Failure,0,Product B,Manufacturing,Urgent,558,27,Unresolved,0
S2,2023-12-16,Minor,Safety,Equipment Malfunction,1,Product A,Shipping,Urgent,758,25,Resolved,0
S2,2023-08-13,Minor,Quality,Process Failure,0,Product B,Packaging,Warning,931,17,Resolved,1
S2,2023-07-27,Moderate,Documentation,Equipment Malfunction,1,Product D,Testing,Formal,756,29,Resolved,1
S2,2023-05-21,Critical,Quality,Process Failure,1,Product C,Shipping,Formal,792,24,Pending,0
S2,2023-06-23,Critical,Safety,Process Failure,1,Product C,Packaging,Urgent,335,20,Resolved,1
S3,2023-01-06,Moderate,Safety,Human Error,1,Product D,Manufacturing,Warning,163,13,Resolved,1
S3,2024-04-02,Moderate,Regulatory,Process Failure,1,Product C,Shipping,Urgent,643,11,Resolved,0
S3,2024-09-21,Minor,Regulatory,Equipment Malfunction,1,Product C,Manufacturing,Formal,500,12,Resolved,1
S3,2023-03-01,Critical,Regulatory,Process Failure,1,Product D,Manufacturing,Formal,813,8,Pending,1
S3,2024-12-30,Minor,Safety,Human Error,0,Product B,Packaging,Formal,215,26,Pending,0
S3,2024-06-21,Moderate,Documentation,Process Failure,1,Product B,Testing,Warning,205,23,Resolved,1
S3,2024-02-19,Critical,Documentation,Process Failure,0,Product B,Packaging,Warning,322,9,Pending,1
S3,2024-04-12,Moderate,Regulatory,Process Failure,1,Product B,Shipping,Warning,482,7,Unresolved,1
S3,2024-06-07,Moderate,Quality,Process Failure,1,Product C,Shipping,Warning,908,28,Pending,1
S3,2024-12-20,Critical,Regulatory,Human Error,0,Product A,Shipping,Urgent,246,23,Pending,1
S3,2023-02-16,Minor,Documentation,Human Error,0,Product D,Shipping,Urgent,822,22,Resolved,1
S3,2024-02-24,Minor,Documentation,Equipment Malfunction,1,Product B,Shipping,Warning,544,29,Pending,0
S3,2024-06-08,Minor,Documentation,Human Error,1,Product A,Shipping,Urgent,123,20,Resolved,1
S3,2024-01-03,Moderate,Regulatory,Process Failure,0,Product C,Manufacturing,Formal,519,26,Resolved,1
S3,2023-08-08,Moderate,Documentation,Process Failure,1,Product B,Shipping,Urgent,854,19,Pending,1
S3,2023-04-05,Critical,Safety,Process Failure,1,Product A,Shipping,Formal,966,26,Pending,0
S3,2024-03-09,Moderate,Quality,Process Failure,0,Product A,Packaging,Urgent,652,22,Resolved,0
S3,2024-12-18,Critical,Safety,Process Failure,0,Product B,Packaging,Warning,956,25,Pending,0
S3,2024-05-17,Minor,Documentation,Human Error,1,Product D,Manufacturing,Formal,402,11,Pending,0
S4,2023-04-12,Moderate,Regulatory,Process Failure,0,Product B,Manufacturing,Urgent,460,1,Resolved,1
S4,2023-02-18,Minor,Safety,Process Failure,1,Product D,Packaging,Warning,786,5,Resolved,0
S4,2023-08-23,Critical,Documentation,Process Failure,1,Product C,Packaging,Urgent,433,2,Resolved,0
S4,2024-03-14,Moderate,Safety,Human Error,0,Product C,Testing,Formal,856,27,Resolved,0
S4,2023-02-10,Moderate,Regulatory,Process Failure,1,Product A,Testing,Warning,910,2,Resolved,1
S4,2024-06-30,Critical,Documentation,Equipment Malfunction,0,Product B,Shipping,Urgent,951,23,Pending,0
S4,2024-02-28,Moderate,Quality,Equipment Malfunction,1,Product B,Packaging,Formal,875,29,Pending,0
S4,2023-08-25,Moderate,Documentation,Process Failure,0,Product C,Shipping,Urgent,526,10,Pending,1
S4,2024-08-09,Moderate,Regulatory,Equipment Malfunction,1,Product A,Manufacturing,Warning,939,25,Pending,1
S4,2024-12-31,Critical,Documentation,Process Failure,0,Product D,Packaging,Formal,701,28,Pending,1
S4,2023-01-28,Moderate,Documentation,Human Error,0,Product A,Packaging,Formal,684,21,Resolved,0
S4,2023-08-31,Critical,Regulatory,Process Failure,0,Product B,Testing,Urgent,118,6,Pending,1
S4,2023-12-01,Minor,Documentation,Equipment Malfunction,0,Product C,Packaging,Urgent,921,7,Resolved,0
S4,2023-03-18,Minor,Regulatory,Process Failure,0,Product C,Packaging,Warning,927,29,Resolved,0
S4,2024-03-02,Minor,Documentation,Process Failure,1,Product C,Shipping,Urgent,941,2,Pending,0
S4,2024-12-29,Minor,Quality,Process Failure,1,Product D,Packaging,Formal,253,25,Resolved,1
S4,2024-03-03,Minor,Documentation,Equipment Malfunction,0,Product D,Shipping,Urgent,913,18,Unresolved,0
S4,2024-12-11,Critical,Documentation,Equipment Malfunction,1,Product C,Packaging,Warning,892,4,Unresolved,0
S4,2024-02-12,Minor,Safety,Process Failure,0,Product B,Testing,Formal,472,20,Pending,0
S4,2023-03-04,Critical,Regulatory,Equipment Malfunction,1,Product D,Testing,Urgent,757,2,Resolved,0
S4,2023-03-29,Moderate,Safety,Process Failure,0,Product C,Shipping,Urgent,138,13,Unresolved,0
S4,2024-02-24,Minor,Quality,Human Error,1,Product D,Manufacturing,Urgent,874,22,Resolved,1
S4,2023-12-22,Minor,Quality,Equipment Malfunction,0,Product A,Shipping,Urgent,217,21,Pending,1
S4,2024-12-06,Minor,Documentation,Process Failure,1,Product B,Packaging,Formal,781,8,Resolved,1
S4,2024-03-14,Moderate,Regulatory,Equipment Malfunction,1,Product D,Shipping,Urgent,956,18,Unresolved,1
S4,2023-10-20,Moderate,Safety,Equipment Malfunction,0,Product C,Manufacturing,Urgent,772,23,Resolved,0
S4,2023-03-11,Minor,Documentation,Equipment Malfunction,1,Product C,Manufacturing,Warning,749,9,Pending,0
S4,2023-08-11,Minor,Quality,Human Error,1,Product D,Shipping,Warning,696,18,Unresolved,1
S4,2023-12-24,Minor,Documentation,Human Error,0,Product C,Shipping,Urgent,630,4,Pending,1
S4,2023-06-27,Critical,Safety,Process Failure,1,Product D,Packaging,Formal,775,3,Resolved,1
S4,2024-01-14,Critical,Quality,Human Error,0,Product D,Packaging,Formal,927,2,Resolved,1
S4,2023-07-12,Minor,Regulatory,Process Failure,1,Product B,Shipping,Urgent,911,29,Pending,0
S4,2024-01-25,Moderate,Quality,Equipment Malfunction,1,Product B,Testing,Formal,902,2,Unresolved,1
S4,2024-09-07,Moderate,Regulatory,Process Failure,1,Product A,Packaging,Formal,386,15,Resolved,0
S4,2024-06-07,Moderate,Quality,Process Failure,0,Product C,Manufacturing,Formal,499,12,Unresolved,1
S4,2023-07-09,Minor,Documentation,Equipment Malfunction,1,Product B,Packaging,Formal,732,21,Pending,1
S4,2023-10-03,Critical,Regulatory,Human Error,0,Product D,Manufacturing,Urgent,599,2,Resolved,1
S4,2023-09-08,Critical,Quality,Human Error,1,Product A,Packaging,Urgent,860,9,Resolved,0
S4,2024-07-05,Moderate,Documentation,Process Failure,1,Product B,Shipping,Urgent,518,22,Unresolved,0
S4,2024-01-25,Minor,Regulatory,Process Failure,1,Product C,Packaging,Urgent,777,18,Resolved,0
S4,2024-07-27,Moderate,Quality,Process Failure,1,Product C,Manufacturing,Warning,625,9,Unresolved,0
S4,2023-02-26,Moderate,Documentation,Process Failure,0,Product B,Testing,Urgent,867,10,Resolved,1
S4,2024-04-23,Moderate,Safety,Equipment Malfunction,1,Product A,Testing,Urgent,337,29,Unresolved,0
S4,2024-12-07,Minor,Safety,Process Failure,1,Product A,Testing,Formal,178,4,Resolved,1
S4,2024-12-20,Minor,Documentation,Process Failure,1,Product B,Packaging,Warning,489,29,Unresolved,1
S4,2024-08-24,Critical,Documentation,Equipment Malfunction,0,Product A,Shipping,Urgent,877,25,Pending,1
S4,2023-02-11,Minor,Documentation,Equipment Malfunction,0,Product C,Shipping,Formal,198,21,Resolved,1
S5,2024-06-25,Moderate,Documentation,Equipment Malfunction,1,Product D,Manufacturing,Formal,359,4,Unresolved,1
S5,2024-09-22,Critical,Regulatory,Human Error,1,Product D,Manufacturing,Urgent,330,18,Unresolved,0
S5,2023-04-14,Critical,Quality,Human Error,0,Product C,Shipping,Urgent,625,7,Resolved,0
S5,2023-05-14,Minor,Quality,Equipment Malfunction,1,Product B,Shipping,Formal,345,6,Unresolved,0
S5,2023-03-23,Critical,Quality,Equipment Malfunction,0,Product A,Packaging,Formal,341,13,Resolved,0
S5,2024-01-29,Minor,Safety,Human Error,0,Product A,Manufacturing,Warning,802,21,Unresolved,0
S5,2023-08-10,Moderate,Regulatory,Process Failure,1,Product C,Packaging,Formal,535,29,Pending,1
S5,2024-12-11,Moderate,Safety,Human Error,0,Product D,Packaging,Formal,524,1,Pending,1
S5,2023-06-21,Minor,Safety,Process Failure,1,Product B,Manufacturing,Formal,383,11,Unresolved,1
S5,2023-01-06,Minor,Documentation,Human Error,1,Product C,Manufacturing,Formal,566,5,Resolved,0
S5,2024-09-22,Minor,Regulatory,Human Error,0,Product C,Packaging,Formal,534,24,Unresolved,1
S5,2024-12-15,Minor,Regulatory,Human Error,1,Product B,Shipping,Urgent,327,11,Unresolved,0
S6,2023-12-07,Critical,Regulatory,Equipment Malfunction,0,Product B,Packaging,Formal,449,22,Pending,1
S6,2023-04-19,Minor,Documentation,Human Error,0,Product B,Shipping,Urgent,660,4,Pending,1
S6,2023-05-22,Minor,Safety,Human Error,1,Product C,Testing,Warning,469,10,Resolved,1
S6,2023-03-21,Critical,Regulatory,Process Failure,1,Product A,Packaging,Warning,387,28,Pending,0
S6,2023-07-29,Critical,Safety,Process Failure,0,Product A,Packaging,Warning,945,28,Pending,0
S6,2023-04-16,Moderate,Regulatory,Process Failure,1,Product A,Manufacturing,Warning,785,17,Resolved,0
S6,2024-09-01,Moderate,Documentation,Equipment Malfunction,0,Product D,Packaging,Warning,629,21,Resolved,1
S6,2023-03-12,Moderate,Regulatory,Process Failure,1,Product B,Shipping,Warning,335,11,Pending,1
S6,2024-05-11,Minor,Quality,Human Error,0,Product B,Testing,Formal,312,15,Unresolved,1
S6,2023-05-05,Critical,Documentation,Equipment Malfunction,1,Product D,Packaging,Urgent,782,5,Resolved,0
S6,2023-02-05,Critical,Documentation,Process Failure,0,Product C,Packaging,Urgent,906,12,Unresolved,0
S6,2024-08-26,Minor,Documentation,Process Failure,1,Product D,Manufacturing,Formal,975,5,Unresolved,0
S6,2024-09-19,Critical,Regulatory,Process Failure,1,Product C,Packaging,Urgent,504,14,Unresolved,0
S6,2024-10-27,Minor,Regulatory,Human Error,0,Product D,Manufacturing,Urgent,333,26,Pending,1
S6,2024-12-20,Minor,Quality,Process Failure,0,Product B,Packaging,Formal,119,11,Unresolved,0
S6,2024-10-23,Critical,Safety,Process Failure,1,Product C,Packaging,Urgent,635,22,Unresolved,1
S6,2023-09-20,Moderate,Regulatory,Equipment Malfunction,0,Product B,Testing,Urgent,871,28,Resolved,0
S6,2024-12-12,Minor,Documentation,Equipment Malfunction,1,Product A,Testing,Warning,827,5,Pending,0
S6,2023-08-20,Moderate,Regulatory,Process Failure,1,Product B,Shipping,Warning,287,28,Unresolved,0
S6,2024-02-17,Moderate,Documentation,Process Failure,1,Product A,Manufacturing,Urgent,413,6,Resolved,0
S6,2023-01-28,Critical,Regulatory,Human Error,1,Product B,Shipping,Formal,282,1,Pending,0
S6,2023-04-14,Minor,Documentation,Equipment Malfunction,0,Product C,Packaging,Urgent,912,1,Resolved,1
S6,2024-04-16,Critical,Documentation,Equipment Malfunction,1,Product C,Testing,Warning,970,9,Pending,1
S6,2023-08-15,Minor,Quality,Process Failure,0,Product A,Shipping,Formal,961,22,Resolved,1
S6,2023-06-18,Minor,Documentation,Process Failure,0,Product B,Testing,Warning,680,29,Resolved,1
S7,2024-11-13,Minor,Quality,Human Error,1,Product B,Testing,Urgent,842,7,Pending,0
S7,2023-04-01,Minor,Regulatory,Process Failure,0,Product B,Testing,Formal,642,20,Resolved,1
S7,2023-01-07,Moderate,Regulatory,Process Failure,1,Product B,Manufacturing,Warning,262,23,Pending,1
S7,2023-11-28,Moderate,Documentation,Process Failure,0,Product A,Testing,Formal,912,4,Unresolved,1
S7,2024-04-26,Critical,Safety,Human Error,1,Product B,Packaging,Warning,618,6,Unresolved,0
S7,2023-03-01,Critical,Regulatory,Equipment Malfunction,1,Product C,Packaging,Urgent,765,12,Pending,0
S7,2024-07-20,Moderate,Safety,Process Failure,0,Product C,Shipping,Urgent,404,19,Unresolved,0
S7,2023-12-14,Minor,Safety,Human Error,0,Product B,Packaging,Warning,589,25,Unresolved,1
S7,2024-03-18,Minor,Regulatory,Human Error,0,Product B,Manufacturing,Urgent,142,9,Unresolved,1
S7,2024-07-08,Minor,Quality,Process Failure,1,Product B,Testing,Formal,941,21,Resolved,1
S7,2024-12-10,Minor,Quality,Process Failure,1,Product D,Manufacturing,Warning,736,7,Pending,1
S7,2024-01-23,Critical,Regulatory,Process Failure,1,Product C,Testing,Warning,803,19,Unresolved,0
S7,2024-11-30,Critical,Safety,Process Failure,0,Product D,Testing,Urgent,754,24,Resolved,0
S7,2023-01-06,Moderate,Documentation,Human Error,0,Product D,Testing,Urgent,980,2,Resolved,1
S7,2024-04-22,Critical,Regulatory,Human Error,1,Product D,Shipping,Urgent,778,20,Unresolved,0
S7,2023-12-19,Moderate,Documentation,Equipment Malfunction,0,Product C,Shipping,Urgent,107,24,Resolved,1
S7,2023-09-04,Minor,Regulatory,Equipment Malfunction,0,Product C,Shipping,Urgent,203,18,Pending,1
S7,2023-09-21,Moderate,Regulatory,Process Failure,0,Product D,Shipping,Formal,358,27,Pending,0
S7,2024-11-22,Moderate,Safety,Human Error,0,Product D,Manufacturing,Formal,991,16,Unresolved,0
S7,2024-04-16,Moderate,Quality,Process Failure,1,Product C,Manufacturing,Formal,623,11,Pending,0
S7,2024-12-16,Minor,Documentation,Human Error,0,Product A,Packaging,Urgent,368,2,Pending,1
S7,2023-06-10,Critical,Regulatory,Equipment Malfunction,0,Product A,Shipping,Formal,295,25,Pending,1
S7,2023-12-16,Moderate,Safety,Equipment Malfunction,0,Product D,Packaging,Formal,471,6,Pending,1
S7,2024-06-04,Minor,Documentation,Process Failure,0,Product D,Manufacturing,Formal,824,24,Pending,1
S7,2024-08-23,Moderate,Quality,Human Error,1,Product D,Testing,Urgent,516,21,Unresolved,1
S7,2023-07-05,Minor,Documentation,Equipment Malfunction,1,Product B,Shipping,Formal,378,16,Pending,0
S7,2023-04-22,Critical,Quality,Equipment Malfunction,0,Product C,Packaging,Formal,371,2,Pending,0
S7,2024-04-28,Critical,Documentation,Process Failure,0,Product D,Manufacturing,Formal,858,23,Unresolved,0
S7,2023-08-04,Moderate,Safety,Equipment Malfunction,1,Product C,Shipping,Formal,326,25,Resolved,0
S7,2024-03-05,Moderate,Regulatory,Human Error,0,Product A,Shipping,Formal,306,18,Unresolved,0
S7,2023-03-27,Critical,Documentation,Equipment Malfunction,0,Product C,Testing,Urgent,649,14,Resolved,1
S7,2023-01-30,Critical,Documentation,Process Failure,0,Product B,Shipping,Formal,380,8,Pending,1
S7,2023-04-28,Critical,Quality,Human Error,0,Product B,Shipping,Warning,525,19,Resolved,1
S7,2024-07-12,Critical,Quality,Equipment Malfunction,0,Product C,Manufacturing,Warning,732,28,Unresolved,0
S7,2023-11-30,Moderate,Safety,Human Error,1,Product D,Packaging,Urgent,364,1,Resolved,1
S7,2024-06-12,Minor,Documentation,Human Error,0,Product B,Testing,Formal,807,27,Pending,0
S7,2023-04-05,Moderate,Quality,Human Error,1,Product C,Shipping,Warning,115,29,Pending,0
S7,2023-10-27,Moderate,Regulatory,Equipment Malfunction,0,Product D,Testing,Urgent,568,21,Resolved,1
S7,2024-03-31,Minor,Documentation,Human Error,0,Product A,Packaging,Formal,423,3,Resolved,1
S7,2023-01-04,Minor,Regulatory,Human Error,0,Product C,Manufacturing,Urgent,687,14,Unresolved,0
S7,2023-03-14,Moderate,Regulatory,Human Error,1,Product D,Packaging,Warning,649,20,Resolved,0
S7,2024-07-06,Critical,Documentation,Process Failure,1,Product A,Shipping,Urgent,591,2,Pending,0
S7,2024-01-06,Minor,Regulatory,Equipment Malfunction,1,Product B,Testing,Formal,821,17,Resolved,1
S8,2024-04-14,Moderate,Documentation,Equipment Malfunction,1,Product B,Packaging,Formal,192,13,Resolved,0
S8,2023-11-04,Moderate,Documentation,Human Error,1,Product D,Packaging,Formal,800,6,Resolved,1
S8,2024-06-25,Critical,Regulatory,Human Error,1,Product C,Packaging,Formal,803,10,Unresolved,1
S8,2023-12-16,Minor,Safety,Human Error,0,Product A,Packaging,Formal,918,27,Unresolved,0
S8,2024-11-21,Critical,Safety,Equipment Malfunction,1,Product C,Shipping,Formal,226,14,Resolved,0
S8,2024-07-17,Critical,Regulatory,Human Error,0,Product A,Manufacturing,Formal,339,1,Resolved,1
S8,2024-09-20,Moderate,Safety,Human Error,0,Product B,Shipping,Urgent,530,23,Resolved,0
S8,2023-03-15,Moderate,Regulatory,Process Failure,0,Product C,Manufacturing,Urgent,584,19,Unresolved,1
S8,2024-10-09,Minor,Safety,Process Failure,0,Product C,Packaging,Warning,869,29,Resolved,1
S8,2023-10-09,Critical,Documentation,Human Error,1,Product B,Testing,Warning,217,9,Resolved,0
S8,2023-07-11,Critical,Regulatory,Process Failure,0,Product A,Testing,Formal,777,3,Pending,1
S8,2024-04-18,Minor,Safety,Process Failure,1,Product C,Shipping,Formal,410,13,Unresolved,1
S8,2024-01-10,Minor,Quality,Human Error,0,Product C,Packaging,Warning,507,25,Pending,1
S8,2024-03-30,Moderate,Documentation,Process Failure,1,Product C,Packaging,Warning,172,21,Pending,1
S8,2024-12-02,Moderate,Regulatory,Equipment Malfunction,0,Product D,Manufacturing,Warning,140,23,Unresolved,1
S8,2023-03-01,Moderate,Documentation,Human Error,1,Product D,Manufacturing,Formal,778,2,Resolved,0
S8,2024-06-19,Minor,Regulatory,Human Error,0,Product C,Manufacturing,Warning,768,10,Pending,1
S8,2023-11-09,Critical,Documentation,Equipment Malfunction,0,Product B,Shipping,Formal,980,6,Resolved,1
S8,2023-02-13,Moderate,Safety,Equipment Malfunction,1,Product A,Packaging,Urgent,936,24,Unresolved,0
S8,2024-10-18,Minor,Regulatory,Process Failure,0,Product B,Testing,Warning,547,27,Pending,0
S8,2024-04-14,Critical,Safety,Equipment Malfunction,0,Product B,Testing,Formal,221,29,Resolved,1
S8,2024-08-30,Minor,Documentation,Equipment Malfunction,1,Product D,Testing,Formal,468,29,Resolved,0
S8,2023-10-28,Moderate,Regulatory,Human Error,0,Product D,Manufacturing,Urgent,167,5,Resolved,0
S9,2024-03-02,Minor,Quality,Human Error,1,Product A,Shipping,Warning,998,10,Pending,1
S9,2024-09-14,Critical,Quality,Human Error,0,Product B,Shipping,Formal,399,11,Unresolved,1
S9,2023-08-21,Minor,Regulatory,Equipment Malfunction,1,Product A,Shipping,Formal,210,2,Unresolved,1
S9,2023-10-24,Minor,Safety,Equipment Malfunction,1,Product B,Manufacturing,Urgent,860,24,Pending,0
S9,2024-07-20,Critical,Safety,Human Error,0,Product A,Manufacturing,Urgent,758,27,Resolved,1
S9,2024-04-09,Moderate,Safety,Equipment Malfunction,1,Product B,Packaging,Urgent,494,7,Resolved,0
S9,2024-07-01,Minor,Quality,Process Failure,1,Product B,Packaging,Warning,246,26,Pending,0
S9,2023-02-06,Moderate,Regulatory,Process Failure,0,Product A,Testing,Warning,498,27,Unresolved,1
S9,2023-08-21,Moderate,Safety,Equipment Malfunction,0,Product B,Shipping,Urgent,703,19,Unresolved,0
S9,2024-01-02,Critical,Regulatory,Equipment Malfunction,0,Product D,Manufacturing,Formal,948,17,Resolved,0
S9,2024-08-07,Critical,Quality,Equipment Malfunction,0,Product A,Packaging,Warning,593,29,Unresolved,0
S9,2023-01-12,Moderate,Regulatory,Process Failure,0,Product B,Shipping,Warning,665,10,Pending,1
S9,2024-08-28,Minor,Regulatory,Process Failure,0,Product D,Shipping,Urgent,156,15,Unresolved,0
S9,2023-12-28,Moderate,Safety,Equipment Malfunction,1,Product C,Shipping,Formal,391,25,Resolved,0
S9,2023-07-02,Minor,Regulatory,Human Error,1,Product D,Packaging,Warning,356,4,Unresolved,1
S9,2023-01-29,Critical,Safety,Process Failure,1,Product B,Manufacturing,Urgent,457,11,Unresolved,1
